phi,file,SDRc,CSDRc,deltaSDRc,SDR,CSDR,deltaSDR,LFCOMP time
20,a42_accordion.wav,22.305,14.065,8.24,27.834,19.963,7.871,1806.6
20,a41_celesta.wav,36.121,13.156,22.965,42.146,19.962,22.184,374.9
20,a16_clarinet.wav,26.551,14.557,11.994,31.791,19.923,11.868,953.2
20,a25_harp.wav,27.08,13.229,13.851,33.548,19.953,13.595,184.2
20,a18_bassoon.wav,27.176,14.379,12.797,32.468,19.934,12.534,640.4
20,a35_glockenspiel.wav,14.694,13.618,1.076,20.625,20.084,0.541,2212.7
20,a08_violin.wav,20.172,14.118,6.054,25.738,19.96,5.778,2762.2
20,a66_wind_ensemble_stravinsky.wav,17.895,12.947,4.948,24.399,19.977,4.422,9129.7
20,a60_piano_schubert.wav,17.469,12.938,4.531,24.245,19.937,4.308,1023.4
20,a58_guitar_sarasate.wav,17.455,16.244,1.211,20.204,19.987,0.217,1014.4
15,a42_accordion.wav,17.474,11.422,6.052,20.114,14.967,5.147,1970.9
15,a41_celesta.wav,29.152,10.968,18.184,32.885,14.969,17.916,587.3
15,a16_clarinet.wav,8.544,12.043,-3.499,11.432,14.932,-3.5,1026.3
15,a25_harp.wav,19.872,10.753,9.119,23.967,14.968,8.999,269.6
15,a18_bassoon.wav,19.684,11.515,8.169,23.027,14.953,8.074,726.0
15,a35_glockenspiel.wav,12.503,11.721,0.782,15.488,15.073,0.415,3795.6
15,a08_violin.wav,15.961,11.572,4.389,19.069,14.97,4.099,3839.0
15,a66_wind_ensemble_stravinsky.wav,12.383,10.823,1.56,15.993,14.979,1.014,9365.7
15,a60_piano_schubert.wav,14.637,10.911,3.726,18.398,14.953,3.445,1304.7
15,a58_guitar_sarasate.wav,18.334,16.997,1.337,15.018,14.99,0.028,1673.7
10,a42_accordion.wav,12.515,8.28,4.235,13.843,9.974,3.869,2831.6
10,a41_celesta.wav,8.728,8.25,0.478,10.453,9.978,0.475,810.1
10,a16_clarinet.wav,4.87,8.765,-3.895,6.049,9.955,-3.906,1228.5
10,a25_harp.wav,6.553,7.932,-1.379,8.593,9.981,-1.388,419.1
10,a18_bassoon.wav,10.41,8.318,2.092,12.042,9.972,2.07,1008.9
10,a35_glockenspiel.wav,8.881,8.511,0.37,10.237,10.052,0.185,5702.3
10,a08_violin.wav,11.463,8.668,2.795,12.45,9.985,2.465,4222.8
10,a66_wind_ensemble_stravinsky.wav,8.993,8.391,0.602,10.299,9.986,0.313,10190.7
10,a60_piano_schubert.wav,8.573,8.154,0.419,10.209,9.97,0.239,1090.8
10,a58_guitar_sarasate.wav,14.061,13.252,0.809,10.007,9.992,0.015,2045.6
7,a42_accordion.wav,8.756,6.202,2.554,9.148,6.982,2.166,2290.4
7,a41_celesta.wav,3.237,6.205,-2.968,4.029,6.986,-2.957,1097.4
7,a16_clarinet.wav,5.991,6.417,-0.426,6.562,6.972,-0.41,1120.3
7,a25_harp.wav,3.489,5.968,-2.479,4.501,6.987,-2.486,529.0
7,a18_bassoon.wav,5.967,6.176,-0.209,6.755,6.983,-0.228,1104.7
7,a35_glockenspiel.wav,6.678,6.372,0.306,7.153,7.037,0.116,6325.4
7,a08_violin.wav,7.63,7.33,0.3,7.053,6.993,0.06,6427.2
7,a66_wind_ensemble_stravinsky.wav,6.807,6.765,0.042,7.047,6.99,0.057,10642.9
7,a60_piano_schubert.wav,7.244,6.158,1.086,7.883,6.981,0.902,1180.4
7,a58_guitar_sarasate.wav,12.118,12.079,0.039,6.998,6.994,0.004,2496.7
5,a42_accordion.wav,6.244,4.682,1.562,6.125,4.989,1.136,2857.1
5,a41_celesta.wav,4.568,4.741,-0.173,4.915,4.991,-0.076,1043.1
5,a16_clarinet.wav,6.817,4.759,2.058,6.914,4.982,1.932,881.5
5,a25_harp.wav,1.98,4.487,-2.507,2.488,4.992,-2.504,506.7
5,a18_bassoon.wav,3.605,4.611,-1.006,3.982,4.989,-1.007,961.7
5,a35_glockenspiel.wav,4.821,4.598,0.223,5.106,5.026,0.08,6561.5
5,a08_violin.wav,5.669,5.542,0.127,5.026,4.998,0.028,9289.5
5,a66_wind_ensemble_stravinsky.wav,5.366,5.371,-0.005,5.027,4.994,0.033,12912.6
5,a60_piano_schubert.wav,6.646,4.757,1.889,6.609,4.988,1.621,1293.1
5,a58_guitar_sarasate.wav,10.391,10.653,-0.262,4.997,4.996,0.001,1489.2
3,a42_accordion.wav,3.279,3.162,0.117,3.078,2.994,0.084,5414.0
3,a41_celesta.wav,4.275,3.206,1.069,3.717,2.996,0.721,2652.5
3,a16_clarinet.wav,4.269,2.981,1.288,4.136,2.991,1.145,1813.4
3,a25_harp.wav,2.078,2.903,-0.825,2.222,2.995,-0.773,884.9
3,a18_bassoon.wav,5.178,3.036,2.142,4.961,2.996,1.965,1842.8
3,a35_glockenspiel.wav,2.991,2.851,0.14,3.087,3.015,0.072,5704.9
3,a08_violin.wav,3.677,3.582,0.095,3.026,3.001,0.025,7017.5
3,a66_wind_ensemble_stravinsky.wav,3.335,3.362,-0.027,3.026,2.997,0.029,12501.8
3,a60_piano_schubert.wav,4.528,3.783,0.745,3.206,2.994,0.212,1682.3
3,a58_guitar_sarasate.wav,7.344,7.544,-0.2,2.998,2.998,0.0,1194.5
1,a42_accordion.wav,1.281,1.168,0.113,1.095,0.999,0.096,2116.8
1,a41_celesta.wav,1.124,1.115,0.009,1.012,0.999,0.013,5015.0
1,a16_clarinet.wav,1.033,1.022,0.011,1.018,0.997,0.021,3492.8
1,a25_harp.wav,1.51,1.423,0.087,1.005,0.999,0.006,1752.7
1,a18_bassoon.wav,1.327,1.305,0.022,1.007,1.0,0.007,4786.5
1,a35_glockenspiel.wav,1.171,1.075,0.096,1.109,1.005,0.104,2354.3
1,a08_violin.wav,1.41,1.356,0.054,1.025,1.001,0.024,5268.0
1,a66_wind_ensemble_stravinsky.wav,1.398,1.439,-0.041,1.017,0.999,0.018,9730.7
1,a60_piano_schubert.wav,1.797,1.654,0.143,1.01,0.999,0.011,1996.7
1,a58_guitar_sarasate.wav,2.944,2.755,0.189,1.004,1.0,0.004,729.9
